original_path,classification,block_reason,notes
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Marvin Gaye, Smokey Robinson, James Brown ｜ Soul Legends Collection.mp3",OTHER_HOLD,,
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.mp3",OTHER_HOLD,,
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.temp.mp3",OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best of Motown Legends ｜ Classic Soul Oldies 70s 80s 90s ｜ Greatest Hits Playlist You’ll Love!.mp3,OTHER_HOLD,,
"C:\Users\suppo\Downloads\New Music\Top1000_Classical\Best Version of Jesu, Joy Of Mans Desiring by Bach.mp3",LOW_CONFIDENCE_BLOCK,,
C:\Users\suppo\Downloads\New Music\Top1000\Bfb Da Packman- Honey Pack.mp3,LOW_CONFIDENCE_BLOCK,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big L - Put It On (Official Music Video).mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big L - Put It On.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big Pun - Still Not a Player (Official Video) ft. Joe.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big Pun - Still Not a Player ft. Joe.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big Pun - Twinz (Deep Cover 98) ft. Fat Joe.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big Pun - Twinz ft. Fat Joe.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Big Star Kenny Chesney with lyrics.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Biography ｜ Who is LBB ｜ Laura Bell Bundy.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Black Dog (Remaster).mp3,NO_PARSE,,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Black Sabbath - Children Of The Grave⧸Embryo.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Black Sabbath ~ War Pigs.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\BLOODBOUND - As Empires Fall (Official Video) ｜ Napalm Records.mp3,OTHER_HOLD,,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\BLOODBOUND - Defenders Of Jerusalem (Official Video) ｜ Napalm Records.mp3,OTHER_HOLD,,
