original_path,new_path,action_taken,result,reason,source_hash,dest_hash
C:\Users\suppo\Downloads\New Music\Top1000_Blues\B. B. King - The Thrill Is Gone ｜ Stages.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\B. B. King - The Thrill is Gone ｜ Stages.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,38ea6b06bce80dd39ce313f449073d6eb1f3f423cf8420632394b558c5cdfd13,38ea6b06bce80dd39ce313f449073d6eb1f3f423cf8420632394b558c5cdfd13
C:\Users\suppo\Downloads\New Music\Top1000\BAD BUNNY - ESTAMOS BIEN ｜ X100PRE.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bad Bunny - Estamos Bien ｜ X100pre.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,d8aa354a60846f42e5e7d6e407cb59172b459a3d2f0a481e591220cc7fcdaefc,d8aa354a60846f42e5e7d6e407cb59172b459a3d2f0a481e591220cc7fcdaefc
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\BATTLELORE - Chambers Of Fire (Lyric Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Battlelore - Chambers of Fire Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,8dde9d04ed56cb4396b4cd3a055be21fad5515fc973245df4294eba03834a039,8dde9d04ed56cb4396b4cd3a055be21fad5515fc973245df4294eba03834a039
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\BATTLELORE - Elvenking (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Battlelore - Elvenking Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,c68613c7072e63bdcdb45ce4d2596bf027ed638b7df47dbd9e00b33f0f888f01,c68613c7072e63bdcdb45ce4d2596bf027ed638b7df47dbd9e00b33f0f888f01
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Black Sabbath - Children Of The Grave⧸Embryo.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Black Sabbath - Children of the Grave⧸embryo.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,1406bed4c17f2e2838575c6d6ba2ed133aed4b54a58716e6171b79ac01e9ec7c,1406bed4c17f2e2838575c6d6ba2ed133aed4b54a58716e6171b79ac01e9ec7c
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\BLOODBOUND - As Empires Fall (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bloodbound - As Empires Fall Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,75695ddbd4a62ea088b1313be06f17b709f89e5a1517590fb38897e21f22d683,75695ddbd4a62ea088b1313be06f17b709f89e5a1517590fb38897e21f22d683
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\BLOODBOUND - Defenders Of Jerusalem (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bloodbound - Defenders of Jerusalem Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,88a39a808e822fcdeeee862a79830e95f9b6c2045a152ddbf1dd0ab31fe6fa90,88a39a808e822fcdeeee862a79830e95f9b6c2045a152ddbf1dd0ab31fe6fa90
C:\Users\suppo\Downloads\New Music\Top1000\CANCUN - Jhanking ｜.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Cancun - Jhanking ｜.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,b27a9331f235598e408f4184076c24e0223a0dc39572caf830117cf9bce84093,b27a9331f235598e408f4184076c24e0223a0dc39572caf830117cf9bce84093
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\CIVIL WAR - Battle Of Life (Official Lyric Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Civil War - Battle of Life Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,efc7d741b304e22aee2a779c49c18fe6a048524628fd2c5fdb9495025236cd20,efc7d741b304e22aee2a779c49c18fe6a048524628fd2c5fdb9495025236cd20
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\CIVIL WAR - Invaders (Official Lyric Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Civil War - Invaders Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,02e09e8e73db5400666884e90788435c2319f606dc7d65bcf17fa8d760d1f35b,02e09e8e73db5400666884e90788435c2319f606dc7d65bcf17fa8d760d1f35b
