sec_label_id,track_id,artist,title,primary_genre,aligned_subgenre,secondary_genre,rule_type,decision,reason
900,2537,Sara Evans,Sara Evans - Suds In The Bucket,Country,Country Pop,Pop,explicit_hybrid,KEEP,"Rule match: Country/Country Pop → Pop [explicit_hybrid, high]"
887,2527,Upchurch,Ryan Upchurch - Black Sheep,Country,Country Rap,Hip-Hop,explicit_hybrid,KEEP,"Rule match: Country/Country Rap → Hip-Hop [explicit_hybrid, high]"
888,2528,Upchurch,Ryan Upchurch - Cowboy Movies,Country,Country Rap,Hip-Hop,explicit_hybrid,KEEP,"Rule match: Country/Country Rap → Hip-Hop [explicit_hybrid, high]"
889,2530,Upchurch,Ryan Upchurch - Love Her Again,Country,Country Rap,Hip-Hop,explicit_hybrid,KEEP,"Rule match: Country/Country Rap → Hip-Hop [explicit_hybrid, high]"
890,2531,Upchurch,Ryan Upchurch - Real Country,Country,Country Rap,Hip-Hop,explicit_hybrid,KEEP,"Rule match: Country/Country Rap → Hip-Hop [explicit_hybrid, high]"
891,2532,Upchurch,Ryan Upchurch - Same Ol Same Ol,Country,Country Rap,Hip-Hop,explicit_hybrid,KEEP,"Rule match: Country/Country Rap → Hip-Hop [explicit_hybrid, high]"
903,2770,Zac Brown Band,Zac Brown Band - Heavy Is The Head,Country,(null),Pop,no_subgenre,REVIEW,Ambiguous subgenre (Country Pop candidate but uncertain)
810,2838,Hopsin,Hopsin - Ill Mind of Hopsin 5,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
832,2217,Tom MacDonald,End Of The World - Tom MacDonald,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
833,2538,Tom MacDonald,Save A Life - Tom MacDonald,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
834,2548,Tom MacDonald,See God - Tom MacDonald,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
835,2572,Tom MacDonald,Still Me - Tom MacDonald,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
836,2573,Tom MacDonald,Still The One - Tom MacDonald,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
837,2590,Tom MacDonald,The Machine - Tom MacDonald,Hip-Hop,Rap Rock,Rock,explicit_hybrid,KEEP,"Rule match: Hip-Hop/Rap Rock → Rock [explicit_hybrid, high]"
