file_path,bpm,bpm_confidence,key,key_confidence,duration,sample_rate,bitrate,analysis_status,error_reason
C:\Users\suppo\Downloads\New Music\More Music\Alan Jackson - Chattahoochee.mp3,87.89,1.0,C major,0.9288,244.944,48000,265088,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alan Jackson - Country Boy.mp3,140.62,1.0,E major,0.8839,242.544,48000,237511,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alan Jackson - Little Bitty.mp3,81.52,1.0,E major,0.961,158.64,48000,245818,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alan Jackson - Livin On Love.mp3,119.68,1.0,A major,0.9362,225.888,48000,248731,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alan Jackson - Remember When.mp3,125.0,1.0,D major,0.8696,267.504,48000,252449,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alan Jackson - Small Town Southern Man.mp3,133.93,1.0,D# major,0.9702,278.04,48000,239789,OK,
"C:\Users\suppo\Downloads\New Music\More Music\Alan Jackson, Jimmy Buffett - Its Five O Clock Somewhere.mp3",125.0,1.0,D major,0.9456,229.944,48000,263942,OK,
"C:\Users\suppo\Downloads\New Music\More Music\Alan Walker & Ava Max - Alone, Pt. II.mp3",117.19,1.0,F# major,0.9097,245.232,48000,264914,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alan Walker - Alone.mp3,96.98,1.0,A# major,0.8468,163.32,48000,256422,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alan Walker - Faded (Lyrics).mp3,89.29,1.0,F# major,0.842,212.736,48000,255458,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alan Walker - Faded.mp3,90.73,1.0,F# major,0.8456,212.52,48000,257139,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alan Walker ‒ Darkside Ft. Au⧸ra & Tomine Harket.mp3,85.23,1.0,E minor,0.8679,211.92,48000,246186,OK,
"C:\Users\suppo\Downloads\New Music\More Music\Alan Walker, Sabrina Carpenter & Farruko - On My Way.mp3",112.5,1.0,C# minor,0.9567,193.512,48000,257322,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alcatrazz - Island In The Sun.mp3,127.84,1.0,E major,0.8642,260.304,48000,278128,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alec Benjamin - Let Me Down Slowly.mp3,152.03,1.0,G# minor,0.8753,169.8,48000,236428,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alec Benjamin - Must Have Been The Wind.mp3,89.29,1.0,G major,0.8752,179.184,48000,241744,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alec Benjamin - The Boy In The Bubble.mp3,144.23,1.0,F# minor,0.7367,181.176,48000,241757,OK,
C:\Users\suppo\Downloads\New Music\More Music\Alec Benjamin - Water Fountain.mp3,133.93,1.0,G# major,0.9065,217.8,48000,265381,OK,
