file_path,action,new_name,source
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\THE DARK SIDE OF THE MOON ft. Rusanda Panfili - Double Trouble⧸Lumos! (Official Video) Harry Potter.mp3,RENAME,The Dark Side of the Moon ft. Rusanda Panfili - Double Troublelumos!.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Disco\The Jacksons⧸Jackson 5 - Shake Your Body Down To The Ground.mp3,RENAME,The Jacksons 5 - Shake Your Body Down to the Ground.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Country\Toby Keith - New Album： American Ride - You cant read my mind.mp3,RENAME,Toby Keith - You Cant Read My Mind.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\TOESUP x @IOVA - Mondays ｜ Official Visualizer.mp3,RENAME,Toesup X - Mondays.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\Travesuras - Nicky Jam ｜ Video Oficial.mp3,RENAME,Travesuras - Nicky Jam.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\twenty one pilots： Heathens.mp3,RENAME,Twenty One Pilots - Heathens.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\twenty one pilots： Stressed Out.mp3,RENAME,Twenty One Pilots - Stressed Out.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Van Halen - Eruption⧸You Really Got Me.mp3,RENAME,Van Halen - Eruption You Really Got Me.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Opera\Verdi - Rigoletto： La Donna E Mobile.mp3,RENAME,Verdi - Rigoletto.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Country\Zac Brown Band - Chicken Fried ｜ The Foundation.mp3,RENAME,Zac Brown Band - Chicken Fried.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Geto Boys - Mind Playing Tricks On Me (Official Video) [Explicit].mp3,RENAME,Geto Boys - Mind Playing Tricks on Me.mp3,operator
