folder,filename,extension,size_bytes,size_mb
READY_NORMALIZED,Edge of Paradise - Death Note Napalm Records.mp3,.mp3,11638311,11.1
READY_NORMALIZED,Edine - 24⧸7.mp3,.mp3,5793142,5.52
READY_NORMALIZED,Edvard Grieg - In the Hall of the Mountain King from ＂Peer Gynt＂.mp3,.mp3,3967200,3.78
READY_NORMALIZED,Elektronomia - Energy ｜ Progressive House ｜ Ncs - Copyright Free Music.mp3,.mp3,7273514,6.94
READY_NORMALIZED,Elmore James - It Hurts Me Too Remastered.mp3,.mp3,8298284,7.91
READY_NORMALIZED,Elvellon - A Vagabond's Heart Napalm Records.mp3,.mp3,10447559,9.96
READY_NORMALIZED,Elvellon - The Aftermath of Life Napalm Records.mp3,.mp3,12659978,12.07
READY_NORMALIZED,elvis presley - blue suede shoes color.mp3,.mp3,2631585,2.51
READY_NORMALIZED,Elīna Garanča - Saint-saëns - Mon Coeur Souvre À Ta Voix From Samson Et Dalila.mp3,.mp3,11691273,11.15
READY_NORMALIZED,Eminem - My Name Is (Music Video) (Alt 1).mp3,.mp3,8693067,8.29
READY_NORMALIZED,Eric Church - Over When It's Over.mp3,.mp3,5525405,5.27
READY_NORMALIZED,Eric Church - Over When Its Over.mp3,.mp3,6774607,6.46
READY_NORMALIZED,Esperándote - Mtz Manuel Turizo ｜ Video Oficial.mp3,.mp3,7294281,6.96
READY_NORMALIZED,Exit Eden - Désenchantée Napalm Records.mp3,.mp3,11550140,11.02
READY_NORMALIZED,Exit Eden - Femme Fatale Napalm Records (Alt 1).mp3,.mp3,10432611,9.95
READY_NORMALIZED,Exit Eden - Run! Feat. Marko Hietala Napalm Records.mp3,.mp3,11204060,10.69
READY_NORMALIZED,Exit Eden - Separate Ways Napalm Records.mp3,.mp3,10862216,10.36
READY_NORMALIZED,Eye of Melian - Blackthorn Winter Napalm Records.mp3,.mp3,9740908,9.29
READY_NORMALIZED,Eye of Melian - Dawn of Avatars (Feat. Patty Gurdy & Troy Donockley) ｜ Napalm Records.mp3,.mp3,10745026,10.25
READY_NORMALIZED,Eye of Melian - Symphonia Arcana Napalm Records.mp3,.mp3,12249223,11.68
READY_NORMALIZED,Eye of Melian - Tears of the Dragon Napalm Records.mp3,.mp3,11223047,10.7
READY_NORMALIZED,Feuerschwanz - Das Herz Eines Drachen Napalm Records.mp3,.mp3,8155935,7.78
READY_NORMALIZED,Feuerschwanz - Name Der Rose Napalm Records.mp3,.mp3,8656210,8.26
READY_NORMALIZED,Feuerschwanz Feat. Francesco Cavalieri - Wardwarf Napalm Records.mp3,.mp3,8450551,8.06
READY_NORMALIZED,"Frank Sinatra, Louis Armstrong, Nat King Cole🎷golden 50s - 70s Jazz Hitsthe Ultimate Timeless Classic.mp3",.mp3,105089510,100.22
READY_NORMALIZED,Franz Liszt - ~ Prelude to Transcendental Etudes.mp3,.mp3,1772004,1.69
READY_NORMALIZED,Frozen Crown - I Am the Wind Napalm Records.mp3,.mp3,10919133,10.41
READY_NORMALIZED,Frozen Crown - Steel and Gold Napalm Records.mp3,.mp3,9862466,9.41
READY_NORMALIZED,Frozen Crown - War Hearts Napalm Records.mp3,.mp3,11206365,10.69
READY_NORMALIZED,Fugees - Fu-gee-la (Music Video) (Alt 1).mp3,.mp3,8769750,8.36
