original_path,new_path,result,reason,hash_before,hash_after
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\026 - Bone Thugs N Harmony - Crossroads.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\026 - Bone Thugs N Harmony - Crossroads.mp3,applied,success,8c5826285b7dfabc75fbfbf2774352b3b62603682434a682c5446a006bc31b8b,8c5826285b7dfabc75fbfbf2774352b3b62603682434a682c5446a006bc31b8b
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\030 - Snoop Dogg - Gin And Juice.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\030 - Snoop Dogg - Gin and Juice.mp3,applied,success,e21145ed437acbedafc22471e5daf9b13eb8635adb95d036c5555bb992c72d0f,e21145ed437acbedafc22471e5daf9b13eb8635adb95d036c5555bb992c72d0f
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\098 - Queen Latifah - U.N.I.T.Y..mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\098 - Queen Latifah - U.n.i.t.y..mp3,applied,success,47670b29f2fb8bf8b8c0a030fc68d270261f00bd560ebeebe956ab65aac672ee,47670b29f2fb8bf8b8c0a030fc68d270261f00bd560ebeebe956ab65aac672ee
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\102 - Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\102 - Eazy-e - Real Muthaphuckkin G's.mp3,applied,success,5cabedb1bbda16a6f9ab8c5780c7b41d1e9700f6897565e9af8700ca57e0f2cf,5cabedb1bbda16a6f9ab8c5780c7b41d1e9700f6897565e9af8700ca57e0f2cf
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\236 - Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\236 - Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3,applied,success,afb34063d3650b6ba7116d310d8a7f917e290cc84993ed0c40626aa21b649a21,afb34063d3650b6ba7116d310d8a7f917e290cc84993ed0c40626aa21b649a21
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - I Get Around.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\2pac - I Get Around.mp3,applied,success,258d8618a88dbd49e98f4bde74ef9fec5dbf67b6f1129f1507d4e4d703cee95a,258d8618a88dbd49e98f4bde74ef9fec5dbf67b6f1129f1507d4e4d703cee95a
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\319 - Beastie Boys - Intergalactic.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\319 - Beastie Boys - Intergalactic.mp3,applied,success,e503d541e3b73462f1fab4f556179869b25d597c3206b842ecd4c8e403b38914,e503d541e3b73462f1fab4f556179869b25d597c3206b842ecd4c8e403b38914
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\390 - Ice Cube - You Know How We Do It.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\390 - Ice Cube - You Know How We Do It.mp3,applied,success,ec79de60216220a927a412d43cee5fd25dd9aec59410fda8ff00c78a9cfcc5a5,ec79de60216220a927a412d43cee5fd25dd9aec59410fda8ff00c78a9cfcc5a5
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\440 - The Roots - You Got Me ft. Erykah Badu.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\440 - The Roots - You Got Me ft. Erykah Badu.mp3,applied,success,4ba681d810f492315181812585615811680ced0c836c73ef77c69f9f3ce6c79e,4ba681d810f492315181812585615811680ced0c836c73ef77c69f9f3ce6c79e
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\530 - Black Star - Respiration ft. Common.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\530 - Black Star - Respiration ft. Common.mp3,applied,success,aa94c130a0d397106f04c7b81f12f97c886c9fd1ab71e4268ba793cb35609254,aa94c130a0d397106f04c7b81f12f97c886c9fd1ab71e4268ba793cb35609254
