canonical_artist,canonical_title,source,confidence,seed_result
T-Series Apna Punjab,"Laung Laachi Title Song | Mannat Noor | Ammy Virk, Neeru Bajwa,Amberdeep | Latest Punjabi Song 2018",clean_high_confidence,0.64,seeded
LILDALLAS,Lil Dallas - Yea Yea Pt. 3 (Dir. By 916Visionary),clean_high_confidence,0.739,seeded
lilbubblegum,lilbubblegum & jasiah - slurpy,clean_high_confidence,0.72,seeded
LMFAOVEVO,"LMFAO - Party Rock Anthem (Audio) ft. Lauren Bennett, GoonRock",clean_high_confidence,0.72,seeded
LMFAOVEVO,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",clean_high_confidence,0.72,seeded
LONELYSPRINGmusic,LONELY SPRING - Misfit (Eurovision Song Contest 2023 Finalist for Germany),clean_high_confidence,0.68,seeded
Los Ángeles Azules,Los Ángeles Azules - Nunca Es Suficiente ft. Natalia Lafourcade (Live),clean_high_confidence,0.76,seeded
lourdiz,Lourdiz - Somersault,clean_high_confidence,0.76,seeded
MagicRecordsPoland,Lucenzo And Don Omar Danza Kuduro,clean_high_confidence,0.64,seeded
Luis Fonsi,Luis Fonsi - Despacito ft. Daddy Yankee,clean_high_confidence,0.76,seeded
Luis Fonsi,"Luis Fonsi, Demi Lovato - Échame La Culpa",clean_high_confidence,0.72,seeded
Wow money,M.A.R.I.A.M,clean_high_confidence,0.64,seeded
M3deep,M3Deep Cash Cow (VIDEO),clean_high_confidence,0.64,seeded
MacBoyDeroVEVO,MacBoy Dero - Whats The Move,clean_high_confidence,0.68,seeded
Marília Mendonça,Marília Mendonça - Ciumeira (Todos Os Cantos - Ao Vivo),clean_high_confidence,0.76,seeded
Michael Jackson,Michael Jackson - They Don't Care About Us,clean_high_confidence,0.76,seeded
Michaël Brun,"Michaël Brun, Masego, Jozzy and Bayka - Charge It",clean_high_confidence,0.72,seeded
Michel Teló,Michel Teló - Ai Se Eu Te Pego -  Video Oficial (Assim você me mata),clean_high_confidence,0.76,seeded
Mike Posner,Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),clean_high_confidence,0.76,seeded
Monterosmusic,Monteros - La misma canciòn (Video oficial),clean_high_confidence,0.72,seeded
NFrealmusic,NF - HAPPY,clean_high_confidence,0.72,seeded
Nicki Minaj,Nicki Minaj - Anaconda,clean_high_confidence,0.76,seeded
NickyJamTV,22. Hasta el Amanecer - Nicky Jam | Video Oficial,clean_high_confidence,0.697,seeded
Nicolukas,NICOLUKAS | Bebe$uki | Video Oficial,clean_high_confidence,0.64,seeded
o2 Tbb,o2 Tbb  - TRUCO O TRATO (Video Oficial),clean_high_confidence,0.76,seeded
Omarion,Omarion - Big Vibez (Dance Take Ver.),clean_high_confidence,0.76,seeded
One Direction,One Direction - Story of My Life,clean_high_confidence,0.76,seeded
OneRepublic,OneRepublic - Counting Stars,clean_high_confidence,0.76,seeded
Ozuna,Ozuna - Se Preparó (Video Oficial) | Odisea,clean_high_confidence,0.76,seeded
Ozuna,Ozuna - Síguelo Bailando (Video Oficial),clean_high_confidence,0.76,seeded
Ozuna,Ozuna x Romeo Santos - El Farsante (Remix) (Video Oficial),clean_high_confidence,0.72,seeded
P!NK,P!nk - Just Give Me A Reason ft. Nate Ruess,clean_high_confidence,0.76,seeded
DEMON$ MEASURED NIGHT$,PAIN IS LIFE (freestyle),clean_high_confidence,0.64,seeded
Phil Makes,Phil Makes - Rainmaker,clean_high_confidence,0.76,seeded
Piso 21,Piso 21 - Déjala Que Vuelva (feat. Manuel Turizo) [Video Oficial],clean_high_confidence,0.76,seeded
Pitbull,"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer",clean_high_confidence,0.76,seeded
Pitbull,Pitbull - Rain Over Me ft. Marc Anthony,clean_high_confidence,0.76,seeded
Juniel Di Hache,Por Las Malas,clean_high_confidence,0.64,seeded
Post Malone,Post Malone & Swae Lee - Sunflower,clean_high_confidence,0.72,seeded
Radiohead,Radiohead - Creep,clean_high_confidence,0.76,seeded
Reik,"Reik - Me Niego ft. Ozuna, Wisin",clean_high_confidence,0.76,seeded
Rihanna,Rihanna - Diamonds,clean_high_confidence,0.76,seeded
Rihanna,Rihanna - Stay ft. Mikky Ekko,clean_high_confidence,0.76,seeded
Rihanna,Rihanna - We Found Love ft. Calvin Harris,clean_high_confidence,0.76,seeded
Rihanna,Rihanna - What's My Name? ft. Drake,clean_high_confidence,0.76,seeded
Rihanna,Rihanna - Work (Explicit) ft. Drake,clean_high_confidence,0.76,seeded
Roger,ROGER   -  Luz (Video Oficial),clean_high_confidence,0.76,seeded
Ruzzell,Ruzzell - CAOS (Video Oficial),clean_high_confidence,0.76,seeded
SAM SMITH,Sam Smith - Too Good At Goodbyes,clean_high_confidence,0.76,seeded
Samantha Urbani,Samantha Urbani - More Than a Feeling,clean_high_confidence,0.76,seeded
Sean Paul,Sean Paul - No Lie ft. Dua Lipa,clean_high_confidence,0.76,seeded
Shakira,Shakira - La La La (Brazil 2014) ft. Carlinhos Brown,clean_high_confidence,0.76,seeded
Shawn Mendes,Shawn Mendes - Treat You Better,clean_high_confidence,0.76,seeded
Shawn Mendes,"Shawn Mendes, Camila Cabello - Señorita",clean_high_confidence,0.72,seeded
Sia,Sia - Cheap Thrills (Performance Edit),clean_high_confidence,0.76,seeded
Sir J,SIR J  x JC KARO - EL MALEANTE,clean_high_confidence,0.72,seeded
Skrillex,Skrillex with Bobby Raps - Leave Me Like This,clean_high_confidence,0.72,seeded
SWAVAY,SWAVAY- DUBLIN (Featuring NASAAN & Ben Reilly),clean_high_confidence,0.76,seeded
Mb-Lu,Tesoro,clean_high_confidence,0.8,seeded
The Weeknd,The Weeknd - In Your Eyes ft Kenny G (Time100 Live Performance),clean_high_confidence,0.76,seeded
The Weeknd,The Weeknd - The Hills,clean_high_confidence,0.76,seeded
Tiësto,Tiësto - BLUE,clean_high_confidence,0.76,seeded
TriipOut Wood,Triipout Wood - Quarter Ticket Feat. Nj Threat (@THREATTV1) Shot by (@watchthescreen777),clean_high_confidence,0.76,seeded
T-Series,"Vaaste Song: Dhvani Bhanushali, Tanishk Bagchi | Nikhil D'Souza | Bhushan Kumar | Radhika R, Vinay S",clean_high_confidence,0.64,seeded
will i am,will.i.am - Scream & Shout ft. Britney Spears,clean_high_confidence,0.71,seeded
Willie Gomez,Willie Gomez - Mira Cómo Baila,clean_high_confidence,0.76,seeded
XXXTENTACION,XXXTENTACION - changes,clean_high_confidence,0.76,seeded
Yandel,"Yandel, Luar La L -  CLICK (Video Oficial)",clean_high_confidence,0.72,seeded
Yandel,"Yandel, Myke Towers - Borracho y Loco (Video Oficial)",clean_high_confidence,0.72,seeded
Young Miko,Young Miko - wiggy,clean_high_confidence,0.76,seeded
Young Miko,"Young Miko, Jowell & Randy - ID",clean_high_confidence,0.72,seeded
YUNG BAE,"Yung Bae, Nile Rodgers - Awesome Ways",clean_high_confidence,0.72,seeded
Zizzy Poppin,Zizzy Poppin - 5.7L Ft. DJ Eve Ready,clean_high_confidence,0.76,seeded
Zizzy Poppin,Zizzy Poppin - Motel 6 Ft. Kayla The Southern Soul Princess,clean_high_confidence,0.76,seeded
Zizzy Poppin,Zizzy Poppin - Part 5.L.I.M.E,clean_high_confidence,0.76,seeded
Zé Neto e Cristiano,Zé Neto e Cristiano - NOTIFICAÇÃO PREFERIDA - #EsqueceOMundoLaFora,clean_high_confidence,0.76,seeded
Zé Neto e Cristiano,Zé Neto e Cristiano - STATUS QUE EU NÃO QUERIA - #EsqueceOMundoLaFora,clean_high_confidence,0.76,seeded
PugPiano,ช้ำคือเรา - [Cover By สมอารมณ์ x Pimthitiii],clean_high_confidence,0.64,seeded
Bruno Rosa,Albert Collins   Ice Pick,clean_high_confidence,0.64,seeded
randomandrare,Charles Brown Black Night (1950),clean_high_confidence,0.64,seeded
anneesvinyl,elvis presley blue suede shoes color,clean_high_confidence,0.64,seeded
Swedebreakers,Hideaway by John Mayall bluesbreakers & Eric Clapton,clean_high_confidence,0.64,seeded
AUSEY1,Johnny Winter / Mean Mistreater,clean_high_confidence,0.64,seeded
AUSEY1,Johnny Winter / Third Degree,clean_high_confidence,0.64,seeded
Thom Pernice,Junior Wells Hoodoman Blues,clean_high_confidence,0.64,seeded
Francesco Renna,Keb' Mo' / Dangerous Mood,clean_high_confidence,0.64,seeded
Traveler Into The Blue,Little Walter-You'd Better Watch Yourself,clean_high_confidence,0.64,seeded
MUDDYWATERSVEVO,Muddy Waters - Mannish Boy (Audio),clean_high_confidence,0.686,seeded
jose el,muddy waters all aboard,clean_high_confidence,0.64,seeded
TheCoolBlues,Muddy Waters ~ My Home Is In The Delta,clean_high_confidence,0.64,seeded
dh,"Muddy Waters ""Trouble No More"" 1974",clean_high_confidence,0.64,seeded
jopalmtreetwo,sonny boy williamson  help me,clean_high_confidence,0.64,seeded
jopalmtreetwo,sonny boy williamson  help me,clean_high_confidence,0.64,seeded
robotocho,Tell Mama ~ Etta James,clean_high_confidence,0.64,seeded
castout888,Beethoven's 5th Symphony,clean_high_confidence,0.64,seeded
mothball22,Carol of the Bells aka The Ukranian Carol,clean_high_confidence,0.64,seeded
FacundoJG,"Edvard Grieg, In the Hall of the Mountain King from ""Peer Gynt""",clean_high_confidence,0.64,seeded
Felix Offenbach,Franz Liszt ~ Prelude to Transcendental Etudes (Russell Sherman - Piano),clean_high_confidence,0.64,seeded
tnsnamesoralong,"[Jandó Jenő] Händel: Harmonious Blacksmith for Piano, HWV430",clean_high_confidence,0.64,seeded
Natalie Schwamova,"Mozart, Ah! vous dirai je maman Twinkle Twinkle, Little Star  KV 265",clean_high_confidence,0.64,seeded
OrchestraSheets,St. Pauls Suite Gustav Holst 1. Jig,clean_high_confidence,0.64,seeded
MovieMongerHZ,Toccata and Fugue in D Minor (Best Version Ever),clean_high_confidence,0.64,seeded
Afrojack,Afrojack vs. THIRTY SECONDS TO MARS - Do Or Die (Remix),clean_high_confidence,0.72,seeded
Ahrix,Ahrix - Nova,clean_high_confidence,0.76,seeded
Alan Walker,Alan Walker - Sing Me To Sleep,clean_high_confidence,0.76,seeded
Alan Walker,Alan Walker x David Whistle - Routine,clean_high_confidence,0.72,seeded
