NGKsPlayerNative - Full Library Contents
Total tracks: 960
Generated: 2026-04-12

   ID  Artist                          Title                                               File Path
 1996  Billy Squier                    Billy Squire - My Kinda Lover                       C:\Users\suppo\Music\Billy Squire - My Kinda Lover.mp3
 1997  Blackberry Smoke                Black Berry Smoke - Good One                        C:\Users\suppo\Music\Black Berry Smoke - Good One.mp3
 1998  Black Stone Cherry              Black Stone Cherry - Blame It On The Boom Boom      C:\Users\suppo\Music\Black Stone Cherry - Blame It On The Boom Boom.mp3
 1999  Black Stone Cherry              Black Stone Cherry - White Trash Millionaire        C:\Users\suppo\Music\Black Stone Cherry - White Trash Millionaire.mp3
 2000  Black Stone Cherry              Black Stone Cherry - You                            C:\Users\suppo\Music\Black Stone Cherry - You.mp3
 2001  Blackberry Smoke                Blackberry Smoke - Run Away From It All             C:\Users\suppo\Music\Blackberry Smoke - Run Away From It All.mp3
 2002  Blackfoot                       Blackfoot - Train Train                             C:\Users\suppo\Music\Blackfoot - Train Train.mp3
 2003  BlackHawk                       BlackHawk - Every Once In a While                   C:\Users\suppo\Music\BlackHawk - Every Once In a While.mp3
 2004  BlackHawk                       BlackHawk - I Sure Can Smell the Rain               C:\Users\suppo\Music\BlackHawk - I Sure Can Smell the Rain.mp3
 2005  Blacktop Mojo                   Blacktop Mojo - Wicked Woman                        C:\Users\suppo\Music\Blacktop Mojo - Wicked Woman.mp3
 2006  Blake Shelton                   Blake Shelton - A Guy With A Girl                   C:\Users\suppo\Music\Blake Shelton - A Guy With A Girl.mp3
 2007  Blake Shelton                   Blake Shelton - Boys Round Here                     C:\Users\suppo\Music\Blake Shelton - Boys Round Here.mp3
 2008  Blake Shelton                   Blake Shelton - Come Back As A Country Boy          C:\Users\suppo\Music\Blake Shelton - Come Back As A Country Boy.mp3
 2009  Blake Shelton                   Blake Shelton - Kiss My Country Ass                 C:\Users\suppo\Music\Blake Shelton - Kiss My Country Ass.mp3
 2010  Blake Shelton                   Blake Shelton - Some Beach                          C:\Users\suppo\Music\Blake Shelton - Some Beach.mp3
 2011  Blondie                         Blondie - Heart Of Glass                            C:\Users\suppo\Music\Blondie - Heart Of Glass.mp3
 2012  Blue Öyster Cult                Blue Oyster Cult - Don't Fear the Reaper            C:\Users\suppo\Music\Blue Oyster Cult - Don't Fear the Reaper.mp3
 2013  Bob Marley & The Wailers        Bob Marley - Three Little Birds                     C:\Users\suppo\Music\Bob Marley - Three Little Birds.mp3
 2014  Bob Seger & The Silver Bullet   Bob Seger - Turn The Page                           C:\Users\suppo\Music\Bob Seger - Turn The Page.mp3
 2015  Born Jamericans                 Born Jamericans - Sweet Honey                       C:\Users\suppo\Music\Born Jamericans - Sweet Honey.mp3
 2016  Boston                          Boston - More Than A Feeling                        C:\Users\suppo\Music\Boston - More Than A Feeling.mp3
 2017  Bottleneck                      Bottleneck - On My Own                              C:\Users\suppo\Music\Bottleneck - On My Own.mp3
 2018  Brad Paisley                    Brad Paisley - I'm Gonna Miss Her                   C:\Users\suppo\Music\Brad Paisley - I'm Gonna Miss Her.mp3
 2019  Brad Paisley                    Brad Paisley - Me Neither                           C:\Users\suppo\Music\Brad Paisley - Me Neither.mp3
 2020  Brad Paisley                    Brad Paisley - Mud On The Tires                     C:\Users\suppo\Music\Brad Paisley - Mud On The Tires.mp3
