file_path,metadata_artist,metadata_title,metadata_album,metadata_genre,metadata_track,tag_version,duration_secs,missing_fields
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - I Am Adam Mcsix Feat. Rhapsody of Fire + Alex Krull Napalm Records.mp3,Napalm Records,ANGUS McSIX - I am Adam McSix feat. Rhapsody of Fire + Alex Krull (Official Video) | Napalm Records,,Music,63,ID3v2.3,405.3,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Laser-shooting Dinosaur Napalm Records.mp3,Napalm Records,ANGUS McSIX - Laser-Shooting Dinosaur (Official Video) | Napalm Records,,Music,63,ID3v2.3,279.1,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Master of the Universe Napalm Records.mp3,Napalm Records,ANGUS McSIX - Master Of The Universe (Official Video) | Napalm Records,,Music,63,ID3v2.3,266.2,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Ride to Hell Napalm Records.mp3,Napalm Records,ANGUS McSIX - Ride To Hell (Official Video) | Napalm Records,,Music,63,ID3v2.3,287.5,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Sixcalibur Napalm Records.mp3,Napalm Records,ANGUS McSIX - Sixcalibur (Official Video) | Napalm Records,,Music,63,ID3v2.3,267.0,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - The Fire of Yore Feat. Uwe Ochsenknecht Napalm Records.mp3,Napalm Records,ANGUS McSIX - The Fire of Yore feat. Uwe Ochsenknecht (Official Video) | Napalm Records,,Music,63,ID3v2.3,424.5,TALB
"C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Aronchupa, Little Sis Nora - Im an Albatraoz ｜ Official Video.mp3",AronChupa & Little Sis Nora,"AronChupa, Little Sis Nora - I'm an Albatraoz | OFFICIAL VIDEO",,Music,63,ID3v2.3,148.5,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Avantasia - The Witch (Feat. Tommy Karevik) Napalm Records.mp3,Napalm Records,AVANTASIA - The Witch (feat. Tommy Karevik) (Official Video) | Napalm Records,,Music,63,ID3v2.3,255.0,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Avicii - Levels Skrillex Remix.mp3,Skrillex,Avicii 'Levels' Skrillex Remix [FULL],,Music,63,ID3v2.3,281.2,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\B. B. King - The Thrill is Gone ｜ Stages.mp3,GIGS,B. B. King - The Thrill Is Gone (Live at Montreux 1993) | Stages,,Music,63,ID3v2.3,401.6,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bad Bunny - Estamos Bien ｜ X100pre.mp3,Bad Bunny,BAD BUNNY - ESTAMOS BIEN | X100PRE (Video Oficial),,Music,63,ID3v2.3,212.7,TALB
