file_path,original_name,cleaned_name,issue_type,confidence,recommended_action,auto_clean,notes,priority_score
"C:\Users\suppo\Downloads\New Music\Top1000\Kelsie Kimberlin – Armageddon ｜ Bucha, Irpin & Kyiv War Zones.mp3","Kelsie Kimberlin – Armageddon ｜ Bucha, Irpin & Kyiv War Zones.mp3","Kelsie Kimberlin - Armageddon Bucha, Irpin & Kyiv War Zones.mp3",ILLEGAL_CHAR,1,RENAME,true,stripped_unicode_0xff5c,4
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenney Chesney -Sherrys living in Paradise ：).mp3,Kenney Chesney -Sherrys living in Paradise ：).mp3,Kenney Chesney - Living in Paradise.mp3,ILLEGAL_CHAR,0.85,RENAME,true,fixed_dash_spacing,2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney The Life.mp3,Kenny Chesney The Life.mp3,Kenny Chesney - The Life.mp3,BAD_SPLIT,0.3,VERIFY,false,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney ~ A Lot Of Things Different.mp3,Kenny Chesney ~ A Lot Of Things Different.mp3,Kenny Chesney - ~ a Lot of Things Different.mp3,BAD_SPLIT,0.3,VERIFY,false,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
C:\Users\suppo\Downloads\New Music\Top1000\KILLSHOT.mp3,KILLSHOT.mp3,Killshot.mp3,NO_PARSE,0,VERIFY,false,"Parse: unknown. Dup risk: none. Group: . no separator found, unknown parse",2
C:\Users\suppo\Downloads\New Music\Top1000\Kingzlee - Recipe ｜ Pressplay.mp3,Kingzlee - Recipe ｜ Pressplay.mp3,Kingzlee - Recipe Pressplay.mp3,NO_CHANGE,1,RENAME,true,stripped_unicode_0xff5c,4
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Kiss Black Diamond.mp3,Kiss Black Diamond.mp3,Kiss Black Diamond.mp3,NO_PARSE,0,VERIFY,false,"Parse: unknown. Dup risk: none. Group: . no separator found, unknown parse",2
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Kiss Deuce lyrics.temp.mp3,Kiss Deuce lyrics.temp.mp3,Kiss Deuce .temp.mp3,NEAR_DUPLICATE,0,VERIFY,false,stripped:\bLyrics?!?\b,2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Kurtis Blow-The Breaks.mp3,Kurtis Blow-The Breaks.mp3,Kurtis Blow - the Breaks.mp3,NO_PARSE,0.85,RENAME,true,fixed_dash_spacing,2
C:\Users\suppo\Downloads\New Music\Top1000\LA CIUDAD -.mp3,LA CIUDAD -.mp3,La Ciudad.mp3,NO_PARSE,0,VERIFY,false,whitespace_cleanup,2
C:\Users\suppo\Downloads\New Music\Top1000\LA TEMPERATURA - TOSTAO X LEYSONG X BUAY PRESS X MAIKI VI ｜ VIDEO OFICIAL.mp3,LA TEMPERATURA - TOSTAO X LEYSONG X BUAY PRESS X MAIKI VI ｜ VIDEO OFICIAL.mp3,La Temperatura - Tostao X Leysong X Buay Press X Maiki VI Video Oficial.mp3,NO_CHANGE,1,RENAME,true,stripped_unicode_0xff5c,4
"C:\Users\suppo\Downloads\New Music\Top1000_Opera\La Traviata： “Libiamo, ne’ lieti calici”.mp3","La Traviata： “Libiamo, ne’ lieti calici”.mp3","La Traviata： - Libiamo, Ne' Lieti Calici.mp3",ILLEGAL_CHAR,0.85,RENAME,true,smart_apostrophe_fixed; whitespace_cleanup,2
C:\Users\suppo\Downloads\New Music\Top1000\Last Friday Night.mp3,Last Friday Night.mp3,Last Friday Night.mp3,NO_PARSE,0,VERIFY,false,"Parse: unknown. Dup risk: none. Group: . no separator found, unknown parse",2
