track_id,original_genre,v2_genre,harmonic_stability,loudness_lufs,avg_section_duration,tempo_stability,energy,danceability,section_count
2342,Hip-Hop,Hip-Hop,0.6768,-26.1,69.99933333333333,0.849,0.811,0.63,3.0
2353,Rock,Rock,0.6414,-34.8,108.57866666666666,0.8986,0.234,0.617,3.0
2363,Country,Country,0.7606,-29.5,67.62066666666666,0.85,0.445,0.847,3.0
2365,Country,Country,0.4866,-33.2,75.022,0.8977,0.36,0.815,3.0
2368,Rock,Rock,0.7339,-27.1,104.341,0.8973,0.38,0.725,2.0
2370,Rock,Rock,0.8881,-34.7,93.78933333333332,0.8482,0.345,0.809,3.0
2374,Rock,Rock,0.8371,-35.5,86.56599999999999,0.8955,0.167,0.743,3.0
2381,Rock,Rock,0.5652,-26.2,109.61533333333333,0.899,0.441,0.845,3.0
2391,Rock,Rock,0.8,-14.0,,,0.64,0.64,
2397,Rock,Rock,0.9095,-21.4,82.02666666666666,0.9,0.77,0.969,3.0
2412,Rock,Rock,0.7452,-33.7,84.17466666666667,0.9,0.308,0.796,3.0
2414,Country,Country,0.8691,-25.9,80.653,0.8956,0.524,0.877,2.0
2419,Country,Country,0.7774,-23.9,68.60866666666666,0.9,0.725,0.952,3.0
2422,Country,Country,0.7724,-21.8,79.76333333333334,0.7993,0.81,0.63,3.0
2423,Country,Country,0.8178,-25.5,121.268,0.8982,0.843,0.98,2.0
2425,Rock,Rock,0.6059,-27.9,93.784,0.85,0.602,0.906,3.0
2433,Pop,Pop,0.7355,-27.0,84.16799999999999,0.8989,0.481,0.51,3.0
2434,Rock,Rock,0.8,-14.0,,,0.32,0.52,
2454,Metal,Metal,0.8,-14.0,,0.85,0.15,0.15,
2461,Rock,Rock,0.7517,-24.3,85.58266666666667,0.8484,0.638,0.867,3.0
2471,Hip-Hop,Hip-Hop,0.7451,-24.3,76.82333333333334,0.8992,0.713,0.91,3.0
2486,Rock,Rock,0.8525,-22.9,127.00666666666666,0.8956,0.725,0.952,3.0
2493,Rock,Rock,0.7599,-29.5,82.30933333333333,0.8867,0.379,0.822,3.0
2494,Rock,Rock,0.7926,-27.7,59.07266666666666,0.849,0.514,0.873,3.0
2495,Rock,Rock,0.7186,-29.6,90.75866666666666,0.7965,0.33,0.604,3.0
2496,Rock,Rock,,,,,,,
2503,Rock,Rock,0.6151,-22.6,134.36100000000002,0.9,0.667,0.93,2.0
2508,Country,Country,0.8013,-28.8,86.02133333333332,0.85,0.432,0.842,3.0
2516,Metal,Metal,0.6969,-25.4,81.75366666666666,0.9,0.56,0.54,3.0
2529,Country,Country,0.8328,-26.4,73.40666666666667,0.8755,0.761,0.72,3.0
2533,Rock,Rock,0.7457,-29.6,96.83333333333331,0.8956,0.244,0.772,3.0
2536,Country,Country,0.8674,-28.9,67.87866666666666,0.9,0.509,0.871,3.0
2537,Country,Country,0.8602,-36.6,112.629,0.7452,0.175,0.514,2.0
2538,Hip-Hop,Hip-Hop,0.8,-14.0,,,0.59,0.59,
2543,Country,Country,0.7597,-25.0,67.636,0.9,0.568,0.777,3.0
2549,Rock,Rock,0.6497,-26.0,93.116,0.8981,0.628,0.916,3.0
2552,Reggae,Other,0.9197,-30.2,81.78599999999999,0.9,0.274,0.614,3.0
2562,Rock,Rock,0.6992,-23.5,70.92666666666666,0.8637,0.724,0.602,3.0
2570,Rock,Rock,0.488,-29.0,62.86533333333333,0.8992,0.512,0.795,3.0
2573,Hip-Hop,Hip-Hop,0.8,-14.0,,,0.53,0.53,
2576,Rock,Rock,0.752,-26.1,88.58733333333333,0.8884,0.481,0.86,3.0
2578,Rock,Rock,0.6536,-26.9,86.12733333333334,0.885,0.622,0.913,3.0
2579,Country,Country,0.7307,-28.9,63.816,0.8703,0.344,0.459,3.0
2583,Rock,Rock,0.8924,-29.4,76.794,0.9,0.269,0.781,3.0
2584,Rock,Rock,0.7373,-38.7,78.46133333333334,0.8949,0.17,0.666,3.0
2592,Rock,Rock,0.3466,-28.9,133.58466666666666,0.8684,0.518,0.874,3.0
2599,Rock,Rock,0.5732,-24.4,69.08066666666666,0.8984,0.583,0.899,3.0
2600,Country,Country,0.6215,-27.3,61.49933333333334,0.8976,0.451,0.772,3.0
2602,Country,Country,0.8583,-24.7,61.576,0.7993,0.574,0.744,3.0
2611,Country,Country,0.6183,-24.4,55.867333333333335,0.9,0.813,0.98,3.0
2617,Country,Country,0.7851,-25.6,72.75066666666667,0.898,0.594,0.903,3.0
2618,Country,Country,0.7572,-27.2,72.68533333333333,0.9,0.431,0.492,3.0
2622,Hip-Hop,Hip-Hop,0.9293,-25.1,76.712,0.9,0.715,0.832,3.0
2643,Hip-Hop,Hip-Hop,0.761,-25.9,102.894,0.8963,0.603,0.828,3.0
