file_path,issue_type,current_name,suggested_name,confidence,recommended_action,notes,priority_score
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs-N-Harmony ft 2pac thug luv lyrics.mp3,LOW_CONFIDENCE,Bone Thugs-N-Harmony ft 2pac thug luv lyrics.mp3,Bone Thugs-N-Harmony - ft 2pac thug luv lyrics.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Boogie Down Productions- South Bronx.mp3,LOW_CONFIDENCE,Boogie Down Productions- South Bronx.mp3,Boogie Down Productions - South Bronx.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000\Bop Menaxe- Til The Rain Gone.mp3,LOW_CONFIDENCE,Bop Menaxe- Til The Rain Gone.mp3,Bop Menaxe - Til The Rain Gone.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000\Bop Menaxe- War Cry.mp3,LOW_CONFIDENCE,Bop Menaxe- War Cry.mp3,Bop Menaxe - War Cry.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
"C:\Users\suppo\Downloads\New Music\Top1000\Fehr Rivas, Aleks Syntek- INMORTAL.mp3",LOW_CONFIDENCE,"Fehr Rivas, Aleks Syntek- INMORTAL.mp3","Fehr Rivas, Aleks Syntek - INMORTAL.mp3",0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Find Yourself by Brad Paisley.mp3,LOW_CONFIDENCE,Find Yourself by Brad Paisley.mp3,Brad Paisley - Find Yourself.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Classical\Franz Joseph Haydn - ＂Surprise＂.mp3,LOW_CONFIDENCE,Franz Joseph Haydn - ＂Surprise＂.mp3,Franz Joseph Haydn - ＂Surprise＂.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
"C:\Users\suppo\Downloads\New Music\Top1000\Fridayy, Chris Brown - ＂Dont Give It Away＂.mp3",LOW_CONFIDENCE,"Fridayy, Chris Brown - ＂Dont Give It Away＂.mp3","Fridayy, Chris Brown - ＂Dont Give It Away＂.mp3",0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Gregg Allman- I'm No Angel.mp3,LOW_CONFIDENCE,Gregg Allman- I'm No Angel.mp3,Gregg Allman - I'm No Angel.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Hideaway by John Mayall bluesbreakers & Eric Clapton.mp3,LOW_CONFIDENCE,Hideaway by John Mayall bluesbreakers & Eric Clapton.mp3,John Mayall bluesbreakers & Eric Clapton - Hideaway.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Howlin Wolf- Killing Floor.mp3,LOW_CONFIDENCE,Howlin Wolf- Killing Floor.mp3,Howlin Wolf - Killing Floor.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Iced Earth- coming curse.mp3,LOW_CONFIDENCE,Iced Earth- coming curse.mp3,Iced Earth - coming curse.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Johnny ＂Clyde＂ Copeland- Rock Me Baby- Part 1.mp3,LOW_CONFIDENCE,Johnny ＂Clyde＂ Copeland- Rock Me Baby- Part 1.mp3,Johnny ＂Clyde＂ Copeland - Rock Me Baby- Part 1.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Judas Priest- Freewheel Burning with lyrics.mp3,LOW_CONFIDENCE,Judas Priest- Freewheel Burning with lyrics.mp3,Judas Priest - Freewheel Burning with lyrics.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Judas Priest- The Sentinel with lyrics.mp3,LOW_CONFIDENCE,Judas Priest- The Sentinel with lyrics.mp3,Judas Priest - The Sentinel with lyrics.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Just to See You Smile Lyrics By Tim McGraw.mp3,LOW_CONFIDENCE,Just to See You Smile Lyrics By Tim McGraw.mp3,Tim McGraw - Just to See You Smile Lyrics.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney- Better As A Memory.mp3,LOW_CONFIDENCE,Kenny Chesney- Better As A Memory.mp3,Kenny Chesney - Better As A Memory.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
"C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney- Nowhere To Go, Nowere To Be.mp3",LOW_CONFIDENCE,"Kenny Chesney- Nowhere To Go, Nowere To Be.mp3","Kenny Chesney - Nowhere To Go, Nowere To Be.mp3",0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
"C:\Users\suppo\Downloads\New Music\Top1000_Opera\La Traviata ＂Addio, del passato＂ by Anna Netrebko. Russian subtitles.mp3",LOW_CONFIDENCE,"La Traviata ＂Addio, del passato＂ by Anna Netrebko. Russian subtitles.mp3","Anna Netrebko. Russian subtitles - La Traviata ＂Addio, del passato＂.mp3",0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Little Willie John -You Hurt Me.mp3,LOW_CONFIDENCE,Little Willie John -You Hurt Me.mp3,Little Willie John - -You Hurt Me.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Love Her Like Shes Leaving by Brad Paisley.mp3,LOW_CONFIDENCE,Love Her Like Shes Leaving by Brad Paisley.mp3,Brad Paisley - Love Her Like Shes Leaving.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Makin Plans by Miranda Lambert.mp3,LOW_CONFIDENCE,Makin Plans by Miranda Lambert.mp3,Miranda Lambert - Makin Plans.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Martin- Zac Brown Band Lyrics!.mp3,LOW_CONFIDENCE,Martin- Zac Brown Band Lyrics!.mp3,Martin - Zac Brown Band Lyrics!.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Miranda Lambert- Another Heartache.mp3,LOW_CONFIDENCE,Miranda Lambert- Another Heartache.mp3,Miranda Lambert - Another Heartache.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Miranda Lambert- Mama Im Alright.mp3,LOW_CONFIDENCE,Miranda Lambert- Mama Im Alright.mp3,Miranda Lambert - Mama Im Alright.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Missing Me Some You by Toby Keith.mp3,LOW_CONFIDENCE,Missing Me Some You by Toby Keith.mp3,Toby Keith - Missing Me Some You.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
"C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Neil Young- My My, Hey Hey (Out Of The Blue).mp3",LOW_CONFIDENCE,"Neil Young- My My, Hey Hey (Out Of The Blue).mp3","Neil Young - My My, Hey Hey (Out Of The Blue).mp3",0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
"C:\Users\suppo\Downloads\New Music\Top1000_Country\Nights I Cant Remember, Friends Ill Never Forget by Toby Keith.mp3",LOW_CONFIDENCE,"Nights I Cant Remember, Friends Ill Never Forget by Toby Keith.mp3","Toby Keith - Nights I Cant Remember, Friends Ill Never Forget.mp3",0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Public Enemy- WELCOME TO THE TERRORDOME.mp3,LOW_CONFIDENCE,Public Enemy- WELCOME TO THE TERRORDOME.mp3,Public Enemy - WELCOME TO THE TERRORDOME.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
"C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Schoolly D- PSK, What Does It Mean？.mp3",LOW_CONFIDENCE,"Schoolly D- PSK, What Does It Mean？.mp3","Schoolly D - PSK, What Does It Mean？.mp3",0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Scotty McCreery- I Cross My Heart Lyrics.mp3,LOW_CONFIDENCE,Scotty McCreery- I Cross My Heart Lyrics.mp3,Scotty McCreery - I Cross My Heart Lyrics.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Slick Rick -la di da di lyrics.mp3,LOW_CONFIDENCE,Slick Rick -la di da di lyrics.mp3,Slick Rick - -la di da di lyrics.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Classical\St. Pauls Suite By Gustav Holst No. 2 Ostinato.mp3,LOW_CONFIDENCE,St. Pauls Suite By Gustav Holst No. 2 Ostinato.mp3,Gustav Holst No. 2 Ostinato - St. Pauls Suite.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Tha Dogg Pound - ＂What Would You Do＂.mp3,LOW_CONFIDENCE,Tha Dogg Pound - ＂What Would You Do＂.mp3,Tha Dogg Pound - ＂What Would You Do＂.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\The Byrds- I Wasn't Born To Follow.mp3,LOW_CONFIDENCE,The Byrds- I Wasn't Born To Follow.mp3,The Byrds - I Wasn't Born To Follow.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\The Roots- No Alibi.mp3,LOW_CONFIDENCE,The Roots- No Alibi.mp3,The Roots - No Alibi.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Tim McGraw- Where The Green Grass Grows.mp3,LOW_CONFIDENCE,Tim McGraw- Where The Green Grass Grows.mp3,Tim McGraw - Where The Green Grass Grows.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Toby Keith- Aint Breakin Nothin.mp3,LOW_CONFIDENCE,Toby Keith- Aint Breakin Nothin.mp3,Toby Keith - Aint Breakin Nothin.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Twista ‎- Overnight Celebrity.mp3,LOW_CONFIDENCE,Twista ‎- Overnight Celebrity.mp3,Twista ‎ - Overnight Celebrity.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Van Halen- Runnin' with the devil.mp3,LOW_CONFIDENCE,Van Halen- Runnin' with the devil.mp3,Van Halen - Runnin' with the devil.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Vintage Jazz 1950s 🎷 Golden Classics by Frank Sinatra, Nat King Cole & Louis Armstrong.mp3",LOW_CONFIDENCE,"Vintage Jazz 1950s 🎷 Golden Classics by Frank Sinatra, Nat King Cole & Louis Armstrong.mp3","Frank Sinatra, Nat King Cole & Louis Armstrong - Vintage Jazz 1950s 🎷 Golden Classics.mp3",0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
"C:\Users\suppo\Downloads\New Music\Top1000_Country\With you, Without you by Brad Paisley.wmv.mp3",LOW_CONFIDENCE,"With you, Without you by Brad Paisley.wmv.mp3","Brad Paisley.wmv - With you, Without you.mp3",0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Disco\Young Hearts Run Free by Candi Staton.mp3,LOW_CONFIDENCE,Young Hearts Run Free by Candi Staton.mp3,Candi Staton - Young Hearts Run Free.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\＂But You Like Country Music＂ - Lyric Video Sunny Sweeney and Brennen Leigh.mp3,LOW_CONFIDENCE,＂But You Like Country Music＂ - Lyric Video Sunny Sweeney and Brennen Leigh.mp3,＂But You Like Country Music＂ - Lyric Video Sunny Sweeney and Brennen Leigh.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\2112： Overture ⧸ The Temples Of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： The Dream ⧸ So....mp3,ILLEGAL_CHAR,2112： Overture ⧸ The Temples Of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： The Dream ⧸ So....mp3,2112： Overture - ⧸ the Temples of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： the Dream ⧸ So....mp3,0.3,RENAME,Parse: fallback_heuristic. Dup risk: none. Group: . proposed name has illegal/problematic Un,2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Keep Ya Head Up (from album： ＂Strictly 4 My N.I.G.G.A.Z...＂.mp3,ILLEGAL_CHAR,2Pac - Keep Ya Head Up (from album： ＂Strictly 4 My N.I.G.G.A.Z...＂.mp3,2pac - Keep Ya Head up (From Album：.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\60 seconds assassin Lyric on screen.mp3,BAD_SPLIT,60 seconds assassin Lyric on screen.mp3,60 Seconds - Assassin Lyric on Screen.mp3,0.3,VERIFY,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8ball & MJG Just Like Candy.mp3,BAD_SPLIT,8ball & MJG Just Like Candy.mp3,8ball & - Mjg Just Like Candy.mp3,0.3,VERIFY,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
"C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8BALL& MJG FRIEND OR FOE FT. E-40, MAC MALL,& BIG MIKE.mp3",BAD_SPLIT,"8BALL& MJG FRIEND OR FOE FT. E-40, MAC MALL,& BIG MIKE.mp3","8ball& Mjg - Friend or Foe ft. E-40, Mac Mall,& Big Mike.mp3",0.3,VERIFY,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ The Darkest of Winters ⧸....mp3,NO_CHANGE,A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ The Darkest of Winters ⧸....mp3,A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ the Darkest of Winters ⧸....mp3,1.0,VERIFY,"Parse: standard. Dup risk: none. Group: . proposed matches original, no action nee",4
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Roller Skating Jam Named ＂Saturdays＂.mp3,BAD_SPLIT,A Roller Skating Jam Named ＂Saturdays＂.mp3,A Roller - Skating Jam Named.mp3,0.3,VERIFY,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Back In Black (Official 4K Video).mp3,ILLEGAL_CHAR,AC⧸DC - Back In Black (Official 4K Video).mp3,Ac⧸dc - Back in Black.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Hells Bells (Official 4K Video).mp3,ILLEGAL_CHAR,AC⧸DC - Hells Bells (Official 4K Video).mp3,Ac⧸dc - Hells Bells.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Highway to Hell (Official Video).mp3,ILLEGAL_CHAR,AC⧸DC - Highway to Hell (Official Video).mp3,Ac⧸dc - Highway to Hell.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Let There Be Rock (Official Video).mp3,ILLEGAL_CHAR,AC⧸DC - Let There Be Rock (Official Video).mp3,Ac⧸dc - Let There Be Rock.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - You Shook Me All Night Long (Official 4K Video).mp3,ILLEGAL_CHAR,AC⧸DC - You Shook Me All Night Long (Official 4K Video).mp3,Ac⧸dc - You Shook Me All Night Long.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Animals (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,AD INFINITUM - Animals (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Animals ｜ Napalm Records.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Eternal Rains (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,AD INFINITUM - Eternal Rains (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Eternal Rains ｜ Napalm Records.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - From The Ashes (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,AD INFINITUM - From The Ashes (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - From the Ashes ｜ Napalm Records.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Inferno (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,AD INFINITUM - Inferno (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Inferno ｜ Napalm Records.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Seth (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,AD INFINITUM - Seth (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Seth ｜ Napalm Records.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Somewhere Better (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,AD INFINITUM - Somewhere Better (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Somewhere Better ｜ Napalm Records.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Unstoppable (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,AD INFINITUM - Unstoppable (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Unstoppable ｜ Napalm Records.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Upside Down (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,AD INFINITUM - Upside Down (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Upside Down ｜ Napalm Records.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Adrenaline Rush.mp3,NO_PARSE,Adrenaline Rush.mp3,Adrenaline Rush.mp3,0.0,HOLD,"Parse: unknown. Dup risk: none. Group: . no separator found, unknown parse",2
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AEPHANEMER - Antigone (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,AEPHANEMER - Antigone (Official Video) ｜ Napalm Records.mp3,Aephanemer - Antigone ｜ Napalm Records.mp3,1.0,RENAME,Parse: standard. Dup risk: none. Group: . proposed name has illegal/problematic Un,4
