original_path,decision,target_state,proposed_new_path,eligible,block_reason
C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Ocarina) (Official Videoclip).mp3,approve_alternate,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Ocarina) (Official Videoclip) (Music Video).mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike vs Sander van Doorn - Project T (Martin Garrix Remix).mp3,approve_alternate,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dimitri Vegas & Like Mike vs Sander van Doorn - Project T (Martin Garrix Remix) (Club).mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\DJ Jazzy Jeff & The Fresh Prince - Summertime (Official Video).mp3,approve_alternate,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\DJ Jazzy Jeff & The Fresh Prince - Summertime (Official Video) (Music Video).mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Club\DJ Snake - Let Me Love You ft. Justin Bieber (Marshmello Remix) [Premiere].mp3,hold,HELD_PROBLEMS,,no,decision=hold
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Doc Holliday - Bad Company ⧸ Amazing Grace.mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Doc Holliday - Bad Company - Amazing Grace.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - The Circus Is In Town (Official Video) ｜ Napalm Records.mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - The Circus is in Town Napalm Records.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - The Circus Is In Town (Official Video) ｜ Napalm Records.temp.mp3,approve_alternate,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\DOMINUM - The Circus Is In Town (Official Video) ｜ Napalm Records (Music Video).mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Don Williams ~ No Use Running ~.mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Don Williams - ~ No Use Running ~.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Don Williams ~ Shes With Me ~.mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Don Williams - ~ Shes With Me ~.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Don Williams ~~The First Fool In Line ~~.mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Don Williams - ~~The First Fool In Line ~~.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000\Dr. Dre - Still D.R.E. ft. Snoop Dogg.mp3,keep_review,REVIEW_REQUIRED,,no,decision=keep_review
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr. Dre - Still D.R.E. ft. Snoop Dogg.mp3,hold,HELD_PROBLEMS,,no,decision=hold
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Dream Theater - ＂Pull Me Under＂.mp3,keep_review,REVIEW_REQUIRED,,no,decision=keep_review
