file_path,filename_artist,filename_title
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Avantasia - The Witch (Feat. Tommy Karevik) Napalm Records.mp3,Avantasia,The Witch (Feat. Tommy Karevik) Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Avicii - Levels Skrillex Remix.mp3,Avicii,Levels Skrillex Remix
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\B. B. King - The Thrill is Gone ｜ Stages.mp3,B. B. King,The Thrill is Gone | Stages
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bad Bunny - Estamos Bien ｜ X100pre.mp3,Bad Bunny,Estamos Bien | X100pre
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Battlelore - Chambers of Fire Napalm Records.mp3,Battlelore,Chambers of Fire Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Battlelore - Elvenking Napalm Records.mp3,Battlelore,Elvenking Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Beastie Boys - Intergalactic.mp3,Beastie Boys,Intergalactic
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Big L - Put it On (Music Video) (Alt 1).mp3,Big L,Put it On (Music Video) (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Big Pun - Still Not a Player ft. Joe (Music Video) (Alt 1).mp3,Big Pun,Still Not a Player ft. Joe (Music Video) (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Biggie Smalls - Notorious Thugs.mp3,Biggie Smalls,Notorious Thugs
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Black Sabbath - Children of the Grave⧸embryo.mp3,Black Sabbath,Children of the Grave/embryo
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Black Sabbath - Sweet Leaf.mp3,Black Sabbath,Sweet Leaf
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Black Sabbath - ~ War Pigs.mp3,Black Sabbath,~ War Pigs
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Black Star - Respiration ft. Common.mp3,Black Star,Respiration ft. Common
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bloodbound - As Empires Fall Napalm Records.mp3,Bloodbound,As Empires Fall Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bloodbound - Defenders of Jerusalem Napalm Records.mp3,Bloodbound,Defenders of Jerusalem Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bone Thugs N Harmony - Crossroads.mp3,Bone Thugs N Harmony,Crossroads
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3,Bone Thugs N Harmony,Thuggish Ruggish Bone
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Cancun - Jhanking ｜.mp3,Cancun,Jhanking |
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Carine - Call 911 ｜ Official Music Video.mp3,Carine,Call 911 |
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Carine - Lolita ｜ Official Visualizer.mp3,Carine,Lolita | Official Visualizer
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Carine - On My Mind ｜ Official Music Video.mp3,Carine,On My Mind |
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Charlie Daniels Band - The South's Gonna Do it (Live).mp3,Charlie Daniels Band,The South's Gonna Do it
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Civil War - Battle of Life Napalm Records.mp3,Civil War,Battle of Life Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Civil War - Invaders Napalm Records.mp3,Civil War,Invaders Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Civil War - Oblivion Napalm Records.mp3,Civil War,Oblivion Napalm Records
"C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Cool Company - I Dont Wanna Be in Love, but I Dont Wanna Be Alone ｜ Official Music Video.mp3",Cool Company,"I Dont Wanna Be in Love, but I Dont Wanna Be Alone |"
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Craig Mack - Flava in Ya Ear (Remix).mp3,Craig Mack,Flava in Ya Ear (Remix)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Craig Mack - Flava in Ya Ear.mp3,Craig Mack,Flava in Ya Ear
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Cypress Hill - Insane in the Brain (Music Video) (Alt 1).mp3,Cypress Hill,Insane in the Brain (Music Video) (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Deaf Kev - Invincible ｜ Glitch Hop ｜ Ncs - Copyright Free Music.mp3,Deaf Kev,Invincible | Glitch Hop | Ncs - Copyright Free Music
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - Beneath Napalm Records.mp3,Delain,Beneath Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - Dance With the Devil Napalm Records.mp3,Delain,Dance With the Devil Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - Moth to a Flame Napalm Records.mp3,Delain,Moth to a Flame Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - Queen of Shadow Napalm Records.mp3,Delain,Queen of Shadow Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - The Quest and the Curse Napalm Records (Alt 1).mp3,Delain,The Quest and the Curse Napalm Records (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - The Reaping Napalm Records.mp3,Delain,The Reaping Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Different Heaven & Eh!de - My Heart ｜ Drumstep ｜ Ncs - Copyright Free Music.mp3,Different Heaven & Eh!de,My Heart | Drumstep | Ncs - Copyright Free Music
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Music Video) (Alt 1).mp3,Dimitri Vegas & Like Mike ft. Wolfpack & Katy B,Find Tomorrow (Music Video) (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dimitri Vegas & Like Mike vs Sander Van Doorn - Project T (Martin Garrix Remix) (Alt 1).mp3,Dimitri Vegas & Like Mike vs Sander Van Doorn,Project T (Martin Garrix Remix) (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dio - The Last in Line.mp3,Dio,The Last in Line
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\DJ Jazzy Jeff & the Fresh Prince - Summertime (Music Video) (Alt 1).mp3,DJ Jazzy Jeff & the Fresh Prince,Summertime (Music Video) (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Doc Holliday - Bad Company ⧸ Amazing Grace.mp3,Doc Holliday,Bad Company / Amazing Grace
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - Danger Danger Napalm Records.mp3,Dominum,Danger Danger Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - Hey Living People Napalm Records.mp3,Dominum,Hey Living People Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - Immortalis Dominum Napalm Records.mp3,Dominum,Immortalis Dominum Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - One of Us Napalm Records.mp3,Dominum,One of Us Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - Patient Zero Napalm Records.mp3,Dominum,Patient Zero Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - Rock You Like a Hurricane Napalm Records.mp3,Dominum,Rock You Like a Hurricane Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - The Circus is in Town Napalm Records (Alt 1).mp3,Dominum,The Circus is in Town Napalm Records (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - We All Taste the Same Napalm Records.mp3,Dominum,We All Taste the Same Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dominum - We Are Forlorn Napalm Records.mp3,Dominum,We Are Forlorn Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Don Williams - ~ No Use Running ~.mp3,Don Williams,~ No Use Running ~
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Don Williams - ~ Shes With Me ~.mp3,Don Williams,~ Shes With Me ~
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Don Williams - ~~The First Fool In Line ~~.mp3,Don Williams,~~The First Fool In Line ~~
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dr Dre - Nuthin but a Thang.mp3,Dr Dre,Nuthin but a Thang
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dragony - The Dead Queen's Race Feat. Maria Nesh Napalm Records.mp3,Dragony,The Dead Queen's Race Feat. Maria Nesh Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\E-40 - Tell Me When to Go ｜ Warner Records.mp3,E-40,Tell Me When to Go | Warner Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Easton Corbin - A Little More Country Than That (Music Video) (Alt 1).mp3,Easton Corbin,A Little More Country Than That (Music Video) (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Eazy-e - Real Muthaphuckkin G's.mp3,Eazy-e,Real Muthaphuckkin G's
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Edge of Paradise - Death Note Napalm Records.mp3,Edge of Paradise,Death Note Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Edine - 24⧸7.mp3,Edine,24/7
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Edvard Grieg - In the Hall of the Mountain King from ＂Peer Gynt＂.mp3,Edvard Grieg,"In the Hall of the Mountain King from ""Peer Gynt"""
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Elektronomia - Energy ｜ Progressive House ｜ Ncs - Copyright Free Music.mp3,Elektronomia,Energy | Progressive House | Ncs - Copyright Free Music
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Elmore James - It Hurts Me Too Remastered.mp3,Elmore James,It Hurts Me Too Remastered
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Elvellon - A Vagabond's Heart Napalm Records.mp3,Elvellon,A Vagabond's Heart Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Elvellon - The Aftermath of Life Napalm Records.mp3,Elvellon,The Aftermath of Life Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\elvis presley - blue suede shoes color.mp3,elvis presley,blue suede shoes color
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Elīna Garanča - Saint-saëns - Mon Coeur Souvre À Ta Voix From Samson Et Dalila.mp3,Elīna Garanča,Saint-saëns - Mon Coeur Souvre À Ta Voix From Samson Et Dalila
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Eminem - My Name Is (Music Video) (Alt 1).mp3,Eminem,My Name Is (Music Video) (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Eric Church - Over When It's Over.mp3,Eric Church,Over When It's Over
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Eric Church - Over When Its Over.mp3,Eric Church,Over When Its Over
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Esperándote - Mtz Manuel Turizo ｜ Video Oficial.mp3,Esperándote,Mtz Manuel Turizo | Video Oficial
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Exit Eden - Désenchantée Napalm Records.mp3,Exit Eden,Désenchantée Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Exit Eden - Femme Fatale Napalm Records (Alt 1).mp3,Exit Eden,Femme Fatale Napalm Records (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Exit Eden - Run! Feat. Marko Hietala Napalm Records.mp3,Exit Eden,Run! Feat. Marko Hietala Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Exit Eden - Separate Ways Napalm Records.mp3,Exit Eden,Separate Ways Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Eye of Melian - Blackthorn Winter Napalm Records.mp3,Eye of Melian,Blackthorn Winter Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Eye of Melian - Dawn of Avatars (Feat. Patty Gurdy & Troy Donockley) ｜ Napalm Records.mp3,Eye of Melian,Dawn of Avatars (Feat. Patty Gurdy & Troy Donockley) | Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Eye of Melian - Symphonia Arcana Napalm Records.mp3,Eye of Melian,Symphonia Arcana Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Eye of Melian - Tears of the Dragon Napalm Records.mp3,Eye of Melian,Tears of the Dragon Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Feuerschwanz - Das Herz Eines Drachen Napalm Records.mp3,Feuerschwanz,Das Herz Eines Drachen Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Feuerschwanz - Name Der Rose Napalm Records.mp3,Feuerschwanz,Name Der Rose Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Feuerschwanz Feat. Francesco Cavalieri - Wardwarf Napalm Records.mp3,Feuerschwanz Feat. Francesco Cavalieri,Wardwarf Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Franz Liszt - ~ Prelude to Transcendental Etudes.mp3,Franz Liszt,~ Prelude to Transcendental Etudes
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Frozen Crown - I Am the Wind Napalm Records.mp3,Frozen Crown,I Am the Wind Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Frozen Crown - Steel and Gold Napalm Records.mp3,Frozen Crown,Steel and Gold Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Frozen Crown - War Hearts Napalm Records.mp3,Frozen Crown,War Hearts Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Fugees - Fu-gee-la (Music Video) (Alt 1).mp3,Fugees,Fu-gee-la (Music Video) (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Gameova1k ft. @babymoney_ - Fall Off Dir - @2mdigital_.mp3,Gameova1k ft. @babymoney_,Fall Off Dir - @2mdigital_
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Gang Starr - Above the Clouds.mp3,Gang Starr,Above the Clouds
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Gang Starr - Moment of Truth ⧸ in Memory Of.mp3,Gang Starr,Moment of Truth / in Memory Of
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\George Michael - Careless Whisper (Music Video) (Alt 1).mp3,George Michael,Careless Whisper (Music Video) (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\George Strait - Thats My Kind Of Woman.mp3,George Strait,Thats My Kind Of Woman
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Geto Boys - Mind Playing Tricks on Me.mp3,Geto Boys,Mind Playing Tricks on Me
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Gloryhammer - Fly Away Napalm Records.mp3,Gloryhammer,Fly Away Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Gloryhammer - He Has Returned Napalm Records.mp3,Gloryhammer,He Has Returned Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Gloryhammer - Holy Flaming Hammer of Unholy Cosmic Frost Napalm Records.mp3,Gloryhammer,Holy Flaming Hammer of Unholy Cosmic Frost Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Gloryhammer - Hootsforce Napalm Records.mp3,Gloryhammer,Hootsforce Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Gloryhammer - Keeper of the Celestial Flame of Abernethy Napalm Records.mp3,Gloryhammer,Keeper of the Celestial Flame of Abernethy Napalm Records
"C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Gloryhammer - Questlords of Inverness, Ride to the Galactic Fortress! Napalm Records.mp3",Gloryhammer,"Questlords of Inverness, Ride to the Galactic Fortress! Napalm Records"
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Good Times - Chic - Hq⧸hd.mp3,Good Times,Chic -/
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Hammer King - Ashes to Ashes Napalm Records.mp3,Hammer King,Ashes to Ashes Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Hammer King - Atlantis Napalm Records.mp3,Hammer King,Atlantis Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Hammer King - Awaken the Thunder Napalm Records.mp3,Hammer King,Awaken the Thunder Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Hammer King - Invisible King ｜ Napalm Records.mp3,Hammer King,Invisible King | Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Hammer King - Kingdemonium Napalm Records.mp3,Hammer King,Kingdemonium Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Hammer King - König Und Kaiser (Feat. the Tribune) Napalm Records.mp3,Hammer King,König Und Kaiser (Feat. the Tribune) Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Hammer King - Pariah is My Name Napalm Records.mp3,Hammer King,Pariah is My Name Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Hammer King - The Devil Will I Do Napalm Records.mp3,Hammer King,The Devil Will I Do Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Hammerfall - Hammer of Dawn Napalm Records (Alt 1).mp3,Hammerfall,Hammer of Dawn Napalm Records (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Handel - Xerxes： Ombra Mai Fu.mp3,Handel,Xerxes: Ombra Mai Fu
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Hank Williams Jr - Simple Man.mp3,Hank Williams Jr,Simple Man
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Heaven and Hell - Black Sabbath Lyrics.mp3,Heaven and Hell,Black Sabbath Lyrics
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\House of Pain - Jump Around (Music Video) (Alt 1).mp3,House of Pain,Jump Around (Music Video) (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ice Cube - It Was a Good Day.mp3,Ice Cube,It Was a Good Day
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ice Cube - You Know How We Do It.mp3,Ice Cube,You Know How We Do It
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ice T - O.g. Original Gangster ｜ Warner Records.mp3,Ice T,O.g. Original Gangster | Warner Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ignea - Nomad's Luck Napalm Records.mp3,Ignea,Nomad's Luck Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Illumishade - Cloudreader Napalm Records.mp3,Illumishade,Cloudreader Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Illumishade - Enemy Napalm Records.mp3,Illumishade,Enemy Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Illumishade - Riptide Napalm Records.mp3,Illumishade,Riptide Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\J Balvin X Bad Bunny - La Canción ｜ Oasis.mp3,J Balvin X Bad Bunny,La Canción | Oasis
