track_id,genre,subgenre,bpm_detected,tempo_stability,key_detected,harmonic_stability,bass_energy,mid_energy,high_energy,spectral_centroid,spectral_rolloff,spectral_flux,transient_density,onset_density,vocal_presence,instrumentalness,drum_presence,guitar_presence,synth_presence,section_repeat_score,dynamic_range_score,loudness_lufs,energy,danceability,valence,zero_crossing_rate,rms_mean,spectral_bandwidth,section_count,avg_section_duration
2264,Country,,89.1,0.8973,12B,0.7576,,,,,,,,,,,,,,,,-28.5,0.446,0.497,,,,,3.0,82.64266666666667
2270,Country,,152.0,0.8596,10B,0.8854,,,,,,,,,,,,,,,,-31.1,0.415,0.486,,,,,3.0,97.835
2272,Country,,129.2,0.85,11B,0.8136,,,,,,,,,,,,,,,,-30.2,0.422,0.838,,,,,3.0,51.79866666666666
2274,Country,,143.6,0.8883,11B,0.8441,,,,,,,,,,,,,,,,-30.2,0.474,0.508,,,,,3.0,72.345
2277,Rock,Alternative,129.2,0.8796,10B,0.5966,,,,,,,,,,,,,,,,-22.5,0.632,0.917,,,,,3.0,82.09400000000001
2280,Country,,152.0,0.8271,2B,0.9285,,,,,,,,,,,,,,,,-29.4,0.418,0.712,,,,,3.0,73.52
2282,Country,,86.1,0.8956,12B,0.8295,,,,,,,,,,,,,,,,-29.9,0.462,0.503,,,,,3.0,57.49333333333333
2284,Country,,172.3,0.8,12B,0.7384,,,,,,,,,,,,,,,,-33.3,0.304,0.61,,,,,3.0,54.11933333333334
2287,Rock,,107.7,0.9,8A,0.6304,,,,,,,,,,,,,,,,-22.3,0.739,0.957,,,,,3.0,75.11666666666666
2290,Rock,Classic Rock,103.4,0.9,9A,0.3675,,,,,,,,,,,,,,,,-25.3,0.66,0.928,,,,,2.0,210.5
2298,Rock,,123.0,0.85,3B,0.8098,,,,,,,,,,,,,,,,-34.1,0.237,0.769,,,,,3.0,101.56666666666666
2299,Country,,152.0,0.85,4B,0.662,,,,,,,,,,,,,,,,-29.2,0.496,0.689,,,,,3.0,62.32999999999999
2304,Rock,,120.0,0.95,12B,,,,,,,,,,,,,,,,,-10.9,0.9,0.96,,,,,,
2305,Country,,107.7,0.6649,10B,0.7303,,,,,,,,,,,,,,,,-27.7,0.412,0.835,,,,,3.0,54.35733333333332
2307,Pop,,143.6,0.8992,9B,0.7254,,,,,,,,,,,,,,,,-33.8,0.273,0.775,,,,,3.0,84.52733333333333
2315,Rock,Alternative,99.4,0.9,11B,0.653,,,,,,,,,,,,,,,,-23.5,0.654,0.925,,,,,3.0,66.33999999999999
2318,R&B,,99.4,0.8861,10A,0.3286,,,,,,,,,,,,,,,,-31.1,0.474,0.858,,,,,3.0,85.73466666666667
2323,Country,,143.6,0.85,1B,0.8578,,,,,,,,,,,,,,,,-25.7,0.779,0.92,,,,,3.0,69.81533333333333
2324,Country,,143.6,0.85,2A,0.8322,,,,,,,,,,,,,,,,-24.2,0.747,0.908,,,,,3.0,65.05066666666666
2342,Hip-Hop,,129.2,0.849,3A,0.6768,,,,,,,,,,,,,,,,-26.1,0.811,0.63,,,,,3.0,69.99933333333333
2353,Rock,,86.1,0.8986,12B,0.6414,,,,,,,,,,,,,,,,-34.8,0.234,0.617,,,,,3.0,108.57866666666666
2363,Country,,136.0,0.85,7B,0.7606,,,,,,,,,,,,,,,,-29.5,0.445,0.847,,,,,3.0,67.62066666666666
2365,Country,,103.4,0.8977,6B,0.4866,,,,,,,,,,,,,,,,-33.2,0.36,0.815,,,,,3.0,75.022
2368,Rock,,136.0,0.8973,9B,0.7339,,,,,,,,,,,,,,,,-27.1,0.38,0.725,,,,,2.0,104.34100000000001
2370,Rock,,129.2,0.8482,1B,0.8881,,,,,,,,,,,,,,,,-34.7,0.345,0.809,,,,,3.0,93.78933333333333
2374,Rock,,107.7,0.8955,7A,0.8371,,,,,,,,,,,,,,,,-35.5,0.167,0.743,,,,,3.0,86.56599999999999
2381,Rock,,129.2,0.899,9B,0.5652,,,,,,,,,,,,,,,,-26.2,0.441,0.845,,,,,3.0,109.61533333333331
2391,Rock,Classic Rock,120.0,,,0.8,,,,,,,,,,,,,,,,-14.0,0.64,0.64,,,,,,
2397,Rock,,123.0,0.9,10B,0.9095,,,,,,,,,,,,,,,,-21.4,0.77,0.969,,,,,3.0,82.02666666666666
2412,Rock,,112.3,0.9,12B,0.7452,,,,,,,,,,,,,,,,-33.7,0.308,0.796,,,,,3.0,84.17466666666667
2414,Country,,129.2,0.8956,9B,0.8691,,,,,,,,,,,,,,,,-25.9,0.524,0.877,,,,,2.0,80.653
2419,Country,,117.5,0.9,12B,0.7774,,,,,,,,,,,,,,,,-23.9,0.725,0.952,,,,,3.0,68.60866666666666
2422,Country,,161.5,0.7993,9B,0.7724,,,,,,,,,,,,,,,,-21.8,0.81,0.63,,,,,3.0,79.76333333333334
2423,Country,,129.2,0.8982,2B,0.8178,,,,,,,,,,,,,,,,-25.5,0.843,0.98,,,,,2.0,121.268
2425,Rock,,136.0,0.85,11B,0.6059,,,,,,,,,,,,,,,,-27.9,0.602,0.906,,,,,3.0,93.78399999999999
2433,Pop,,107.7,0.8989,5B,0.7355,,,,,,,,,,,,,,,,-27.0,0.481,0.51,,,,,3.0,84.16799999999999
2434,Rock,,120.0,,,0.8,,,,,,,,,,,,,,,,-14.0,0.32,0.52,,,,,,
2454,Metal,,144.0,0.85,9B,0.8,,,,,,,,,,,,,,,,-14.0,0.15,0.15,,,,,,
2461,Rock,,143.6,0.8484,8B,0.7517,,,,,,,,,,,,,,,,-24.3,0.638,0.867,,,,,3.0,85.58266666666667
2471,Hip-Hop,,143.6,0.8992,5B,0.7451,,,,,,,,,,,,,,,,-24.3,0.713,0.91,,,,,3.0,76.82333333333334
2486,Rock,Classic Rock,136.0,0.8956,5B,0.8525,,,,,,,,,,,,,,,,-22.9,0.725,0.952,,,,,3.0,127.00666666666666
2493,Rock,Classic Rock,117.5,0.8867,7A,0.7599,,,,,,,,,,,,,,,,-29.5,0.379,0.822,,,,,3.0,82.30933333333333
2494,Rock,,123.0,0.849,10B,0.7926,,,,,,,,,,,,,,,,-27.7,0.514,0.873,,,,,3.0,59.07266666666666
2495,Rock,,172.3,0.7965,10A,0.7186,,,,,,,,,,,,,,,,-29.6,0.33,0.604,,,,,3.0,90.75866666666666
2496,Rock,Classic Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503,Rock,,129.2,0.9,2A,0.6151,,,,,,,,,,,,,,,,-22.6,0.667,0.93,,,,,2.0,134.36100000000002
2508,Country,,129.2,0.85,10B,0.8013,,,,,,,,,,,,,,,,-28.8,0.432,0.842,,,,,3.0,86.02133333333332
2516,Metal,,143.6,0.9,9A,0.6969,,,,,,,,,,,,,,,,-25.4,0.56,0.54,,,,,3.0,81.75366666666666
2529,Country,,117.5,0.8755,2B,0.8328,,,,,,,,,,,,,,,,-26.4,0.761,0.72,,,,,3.0,73.40666666666667
2533,Rock,Classic Rock,136.0,0.8956,12B,0.7457,,,,,,,,,,,,,,,,-29.6,0.244,0.772,,,,,3.0,96.83333333333333
2536,Country,,117.5,0.9,7B,0.8674,,,,,,,,,,,,,,,,-28.9,0.509,0.871,,,,,3.0,67.87866666666666
2537,Country,,161.5,0.7452,6B,0.8602,,,,,,,,,,,,,,,,-36.6,0.175,0.514,,,,,2.0,112.629
2538,Hip-Hop,,156.0,,,0.8,,,,,,,,,,,,,,,,-14.0,0.59,0.59,,,,,,
2543,Country,,89.1,0.9,12B,0.7597,,,,,,,,,,,,,,,,-25.0,0.568,0.777,,,,,3.0,67.636
2549,Rock,,117.5,0.8981,8A,0.6497,,,,,,,,,,,,,,,,-26.0,0.628,0.916,,,,,3.0,93.116
